Core: audioblade_system_altera_emif_arch_nf_180_6fyzjwi - Instance: i0|emif_0
Path, Setup Margin, Hold Margin
"Address/Command (Slow 900mV 100C Model)",0.153,0.153
"Core (Slow 900mV 100C Model)",0.07,0.062
"Core Recovery/Removal (Slow 900mV 100C Model)",2.294,0.478
"DQS Gating (Slow 900mV 100C Model)",0.529,0.529
"Read Capture (Slow 900mV 100C Model)",0.016,0.016
"Write (Slow 900mV 100C Model)",0.028,0.028
"Write Levelling (Slow 900mV 100C Model)",0.122,0.122
"Address/Command (Slow 900mV -40C Model)",0.153,0.153
"Core (Slow 900mV -40C Model)",0.163,0.05
"Core Recovery/Removal (Slow 900mV -40C Model)",2.318,0.427
"DQS Gating (Slow 900mV -40C Model)",0.529,0.529
"Read Capture (Slow 900mV -40C Model)",0.016,0.016
"Write (Slow 900mV -40C Model)",0.028,0.028
"Write Levelling (Slow 900mV -40C Model)",0.122,0.122
"Address/Command (Fast 900mV 100C Model)",0.153,0.153
"Core (Fast 900mV 100C Model)",0.877,0.026
"Core Recovery/Removal (Fast 900mV 100C Model)",2.585,0.331
"DQS Gating (Fast 900mV 100C Model)",0.529,0.529
"Read Capture (Fast 900mV 100C Model)",0.016,0.016
"Write (Fast 900mV 100C Model)",0.028,0.028
"Write Levelling (Fast 900mV 100C Model)",0.122,0.122
"Address/Command (Fast 900mV -40C Model)",0.153,0.153
"Core (Fast 900mV -40C Model)",1.215,0.022
"Core Recovery/Removal (Fast 900mV -40C Model)",2.717,0.245
"DQS Gating (Fast 900mV -40C Model)",0.529,0.529
"Read Capture (Fast 900mV -40C Model)",0.016,0.016
"Write (Fast 900mV -40C Model)",0.028,0.028
"Write Levelling (Fast 900mV -40C Model)",0.122,0.122
